Hospital Name,Type of Institution,Hospital Address,District,Phone number,Email Address,Bed strength,Number of Doctors,No of Male Therapist,No of Female Therapist,Select Your Specialties,Accreditations
"Kottakkkal Aryavaidya, Alappuzha",OP Treatment Centre / Wellness Centre,"Kottakkkal Aryavaidya sala dealer, Alappuzha.
688001,
Phone. 04772260374",Alappuzha,9446516687,drkgshajeevkkl@gmail.com,Nil,Dr SHAJEEV. K. G,Nil,Nil,Kayachikitsa,Kottakkkal dealer
Anjali Ayurvedic Research Centre and Spa,OP Treatment Centre / Wellness Centre,"3rd Floor, Union Complex, South Bazar, Kannur, Kerala 670002",Kannur,9895268511,rajesh.deven7@gmail.com,No Admit,5,2,6,"Kayachikitsa, Wellness",Applied for NABH
AYAS AYURVEDA CLINIC,OP Treatment Centre / Wellness Centre,"AYAS AYURVEDA CLINIC,PALUAI ROAD,PAVATATTY.THRISSUR",Thrissur,9496373014,draneeshvr105@gmail.com,0,1,0,0,Nil,Nil
Ayurbin Ayurvedic Hospital,OP Treatment Centre / Wellness Centre,"Opposite RMHS SCHOOL MELATTUR PO,  Malappuram 679326",Malappuram,8589079250,drajmalbinmuhammed@gmail.com,3,2,1,0,Kayachikitsa,Nil
Nedumbakaran Ayurveda Clinic,OP Treatment Centre / Wellness Centre,"Nedumbakaran Ayurveda Clinic
Oushadhi - Vellikulangara road
P. O. Kodakara - 680684",Thrissur,9188174164,harvingeorgen@gmail.com,Nil,One,Nil,Nil,"Kayachikitsa, Koumarabrithya, Salakya Chikitsa",Nil
SAHANI AYURVEDA CLINIC AND COUNSELING CENTER,Op clinic and pharmacy,"SAHANI AYURVEDA CLINIC AND COUNSELING CENTER, VALAYAMKULAM,near medi lab, opposite bus stop, valayamkulam, changaramkulam.pin:679591",Malappuram,8943547911,haninyraj23@gmail.com,",op",1,1 on call,1 on call,"Shalya Chikitsa, Prasoothi Thanthra, Counseling and learning disability",Panchayat registration
SDM ayurveda,OP Treatment Centre / Wellness Centre,"SDM ayurveda
Near Govt hospital
Mannar
Pin 689622",Alappuzha,8606710011,torenjithp@gmail.com,Nil,3,2,4,Kayachikitsa,"ISO,"
Nimba Ayurveda Nursing Home,OP Treatment Centre / Wellness Centre,"Mukkilepeedika Road, Ponnani, Malappuram district, Kerala 679577.",Malappuram,8891481584,sinimohan@gmail.com,2,2,1,1,"Kayachikitsa, Koumarabrithya, Prasoothi Thanthra",Municipality licence
Nerium Ayurveda and Wellness,OP Treatment Centre / Wellness Centre,"Ground floor, SR Arcade, Onam park zone, Mavelipuram, Kakkanad 682030",Ernakulam,8848764701,neriumayurveda@gmail.com,0,1,1,2,Nil,Nil
MadhavaMatam CVN kalari Ayurvedic centre,Hospital,"MadhavaMatam CVN kalari Ayurvedic centre, Pappanamcode, Trivandrum",Thiruvananthapuram,9895549117,gowthamrd@gmail.com,10,Two,1,1,"Kayachikitsa, Shalya Chikitsa, Marma therapy",Registered in coorporation
Punarjani Ayur Clinic,OP Consultation & counselling Centre,Chemmanthatta,Thrissur,9544834547,drnayanasooraj@gmail.com,0,1,0,0,"Kayachikitsa, Koumarabrithya, Salakya Chikitsa, Shalya Chikitsa, Visha Chikitsa, Prasoothi Thanthra, General",Panchayath licensed
Swasthyam Ayurveda and Panchakarma,OP Treatment Centre / Wellness Centre,"Alavil,kannur ,670008",Kannur,9946579108,drjyonandanam@gmail.com,4,2,2,2,Kayachikitsa,Ji
Samanwaya hospital,OP Treatment Centre / Wellness Centre,"Kuzhiyam,Chemmakkad",Kollam,9847216675,drgpromod@gmail.com,NA,One,Nil,Nil,No speciality,Nil
SRV AYURVEDA HOSPITAL AND PHARMACY,Hospital,"NEERATTUPURAM P O, THALAVADY , THIRUVALLA, ALAPPUZHA, KEALA",Alappuzha,0477-2999579,atmalekshmi@gmail.com,15,1,2,2,TREATING AS PER THE CASES AND DOCUMENTING ACCORDINGLY.,REGISTERED IN PANCHAYAT  ONLY.
Aatma ayurvedic centre,Hospital,"Post office road, anandapuram, tcr 680305",Thrissur,9446561397,ravimooss@gmail.com,25,3,5,7,Kayachikitsa,na
Sthira Ayurveda Hospital,Hospital,"Sthira Ayurveda Hospital, Kanyarupara Puthukulangara P O Nedumangad 695541",Thiruvananthapuram,7293232973,sthiraayurveda@gmail.com,10,1,1,2,Rasasastra &Bhaishajyakalpana,Nil
Chaithanya Hospital,Hospital,"THODIYOOR north.P O,Karunagapally,",Kollam,9562423017,chaithanyaayurcare@gmail.com,30,3,3,3,"Kayachikitsa, Koumarabrithya, Shalya Chikitsa",ISO
Tedavi Ayurvedic Spa & Post Natal Care,Hospital,"Manjeri, Malappuram 676121",Malappuram,7356440333,tedaviayurvedic@gmail.com,13,2,1,4,"Kayachikitsa, Koumarabrithya, Prasoothi Thanthra,",nil
Indian Pharm,OP Treatment Centre / Wellness Centre,Indian Pharm Chentrappinni,Thrissur,8089766594,sreethyks2014@gmail.com,Nil,1,Nil,Nil,Kayachikitsa,ISO
"Vaidyaratnam agency clinic, Chentrappinny",Agency,"Vaidyaratnam dealer, chentrappinny, thrissur",Thrissur,9447694106,ccdivya@ymail.com,0,1,0,0,"Kayachikitsa, Koumarabrithya, Prasoothi Thanthra",No
Vallanchira Ayurveda Hospital,Hospital,"NSS College po, Manjeri",Malappuram,9447933460,drrazakv@gmail.com,10,3,4,4,Kayachikitsa,Municipality license
Dr Lukman's Smriti Roots mind body clinic,OP Treatment Centre / Wellness Centre,"Building 262 B1
Ward 8
Kodikuthiparamb
Pulikal pancayath
Pallikal PO
Malappuram District
Pin: 673634",Malappuram,8289967417,drlubnap@gmail.com,0,2,0,0,"Kayachikitsa, Koumarabrithya, Prasoothi Thanthra, Smriti Meditation Counselling",Govt of Kerala
Gayathri Ayurveda clinic,OP Treatment Centre / Wellness Centre,"Gayathri ayurveda clinic, Ambalavattom, Edarikode P. O, Malappuram Dt",Malappuram,9496243968,vinurekha73@gmail.com,2,1,1,3,"Kayachikitsa, Shalya Chikitsa, Cosmetic",Panjayath license
BRAHMAKALPAM AYURVEDA HOSPITAL,Hospital,PADIVAYAL VADUVANCHAL,Wayanad,7907404500,brahmakalpammpi@gmail.com,15,One,1,3,General panchakarma treatments,LGSG
Anzis Ayurveda Health Care Centre Anzi’s Ayurveda Health Care Centre Your Health Care Partner,Hospital,"Edakombum Road, Pachilakkad, Kaniyambetta Post. Wayanad",Wayanad,9526597447,info@anzisayurveda.com,10,4,4,3,"Kayachikitsa, Koumarabrithya, Salakya Chikitsa, Shalya Chikitsa, Prasoothi Thanthra",Kerala Clinical Establishment Registration
Swastya Ayurveda,OP Treatment Centre / Wellness Centre,"Swastya Ayurveda, Kuravanthodu, Punnapra P.O, Alappuzha 688004",Alappuzha,6238428531,indupramod2009@gmail.com,NA,1,NA,Na,General medicine,NA
CHAITHANYA AYURVEDIC WELLNESS CENTRE,OP Treatment Centre / Wellness Centre,"CHAITHANYA AYURVEDIC WELLNESS CENTRE, V.V.M.R.A LANE, VADUTHALA VALAVU, KOCHI -682023",Ernakulam,9895974516,drdeepthirajchandran@gmail.com,0,1,0,0,"Kayachikitsa,",Cochin Corporation Licence
DR TS Ayurcare,OP Treatment Centre / Wellness Centre,"Dr ts ayucare, health and wellness centre, Maramuttam po purangu Malappuram",Malappuram,9605401839,sadiqthabsheena@gmail.com,2,1,1,1,"Koumarabrithya, Shalya Chikitsa, Visha Chikitsa, Prasoothi Thanthra,","NABH,"
Purnayoo Arogya Nikethanam,Hospital,GHSS Road Meenangadi,Wayanad,9496130033,info@purnayoo.com,17,3,6,7,"Kayachikitsa, Panchakarma","ISO, NABH UNDER APPLICATION"
KOTTAVEETTIL AYURVEDA HOSPITAL,Hospital,"Kottaveettil junction, Kallelibhagom po, Karunagapally - 690519",Kollam,9400715240,kottaveettilayur@gmail.com,4,2,1,1,"Panchakarma, Marma",Nil
Ayurgreen Ayurveda Hospitals Pvt Ltd,Hospital,"Edappal, Kavilpadi",Malappuram,8943055554,info@ayurgreenhospitals.com,90,15,18,10,"Kayachikitsa, Salakya Chikitsa, Panchakarmma, Agada Tandra, Punarnavasana Vyavasthapana, Karmaabhyasa, Speech therapy",NABH
Dr P Natarajan Memorial Hospital,Hospital,Nallila po NALLILA,Kollam,9495379008,varun.bams@gmail.com,6,Dr Varun Natarajan,2,2,Vanitha clinic,No
Suvaidya Ayurveda (PKMM health care),Hospital,Parambilangadi. Kottakkal 676503,Malappuram,9447654061,drpsiraj@gmail.com,15,3,5,5,"Kayachikitsa, Shalya Chikitsa, Panchakarma",ISO
Kripa Aryavaidya Madom,Hospital,"Near Mims hospital
Govindapuram
Kozhikode
Kerala",Kozhikode,9895067971,doctorkripa@gmail.com,10,3,1,4,"Kayachikitsa, Koumarabrithya, Salakya Chikitsa, Shalya Chikitsa, Visha Chikitsa, Prasoothi Thanthra, Manasika",ISO
Swetaranya Ayurvedasram,Hospital,"P. O. Kavanchery, Mangalam, Tirur",Malappuram,9526348145,drtrivikraman@gmail.com,10,2,3,3,"Depression, Parkinson's, IVDP, infertility",Panchayath registration
Vempilly Ayurveda Hospital,Hospital,Vempilly Ayurveda Hospital Nakapuzha P O Nakapuzha Muvattupuzha Ernakulam District Kerala,Ernakulam,9447267065,vempillyayurveda@gmail.com,20,12,7,8,"Kayachikitsa, Shalya Chikitsa, Prasoothi Thanthra, Panchakarma, Asthi Marma vigyan",NABH
Nirmalam Ayurgram Ayurveda Panchakarma centre,OP Treatment Centre / Wellness Centre,"Kayarampara, kanjirakkadavu road, ottapalam",Palakkad,9846397376,drmidhab@gmail.com,5,2,1,2,Panchakarma,Nil
Panchamam ayurvedic pharma,OP Treatment Centre / Wellness Centre,"Kalarikkal building, near pvt bus stand thodupuzha",Idukki,9605796155,panchamamayurveda@gmail.com,NA,2,NA,NA,Kayachikitsa,Muncipal license
Payyappilly Arogya and Manovikas Kendra,Hospital,"Mallussery, Vattapparambu  P.O,683579",Ernakulam,9446744688,dr.tompaul@gmail.com,8,1,1,1,Kayachikitsa,Panchayath registered
The Sanjeevani multispeciality centre,OP Treatment Centre / Wellness Centre,SANJEEVANI MULTISPECIALITY CENTRE. KURIACHIRA  Thrissur 680006,Thrissur,9895006900,drsmithajojikoil@gmail.com,O,2,O2,O2,"General practice with Panchakarma, skin and hair care",Cooperation
ANAND AYURVEDA HOSPITAL,OP Treatment Centre / Wellness Centre,"ANAND AYURVEDA HOSPITAL, CHEMMAD, P. O. TIRURANGADI.676306.",Malappuram,9895117257,sivanandandr@gmail.com,0,Two,0,0,Kayachikitsa,ISO
SREERUDRA AYURVEDA MULTISPECIALITY HOSPITAL,Hospital,"KAITHAVANA, SANATHANAPURAM",Alappuzha,4772266778,drvnnks@gmail.com,30,6,5,6,"Koumarabrithya, Salakya Chikitsa, Shalya Chikitsa, Prasoothi Thanthra","ISO, NABH"
AswathyMatha Ayurveda and Homoeo Health Care,OP Treatment Centre / Wellness Centre,"AswathyMatha Ayurveda and Homoeo Health Care, palace ward Krishnapuram po kayamkulam 690633",Alappuzha,8848175229,arun.gdev@gmail.com,0,2,On call,1,"Kayachikitsa, Salakya Chikitsa",Nill
"Kottakkal aryavaidya sala agency ,clinic and treatment center",OP Treatment Centre / Wellness Centre,"Kottakkal aryavaidya sala 
Pkb tower 
Karuvarakundu 
Kizhakethala 
676523",Malappuram,7907950025,dr.krishnapriya7@gmail.com,0,2,1,1,General,Panjayath lisence
Pathya Ayur Care,Hospital,"Dr.Rifna's Pathya Ayur Care,Ambalappadi,Kulathur,Malappuram Dt",Malappuram,8428313313,rifnarafath@gmail.com,10,1,Nil,5,Prasoothi Thanthra,Nil
Kanippayoor Ayurveda chikitsa kendram,Hospital,Kandanassery po ariyannur via thrissur Kerala 680012,Thrissur,4885237003,adithyanks58@gmail.com,15,4,4,4,"Kayachikitsa, Koumarabrithya, Salakya Chikitsa, Shalya Chikitsa, Visha Chikitsa, Prasoothi Thanthra",NABH
SACRED HEART AYURVEDA HOSPITAL MANIMOOLY,Hospital,"SACRED HEART AYURVEDA HOSPITAL MANIMOOLY, MANIMOOLY  PO, VAZHIKKDAVU 679333",Malappuram,9961031091,s.h.ayurhispital@gmail.com,15,2,3,5,Kayachikitsa,None
Ayursaukhya Ayurveda Chikitsalayam,OP Treatment Centre / Wellness Centre,Ayursaukhya Ayurveda Chikitsalayam Nellad 686669,Ernakulam,9446717145,ayursaukhyaa@gmail.com,0,1,1,1,Panchakarma treatments,Nil
Sreenivasamadam Ayurveda,OP Treatment Centre / Wellness Centre,"Sreenivasamadam Ayurveda, Mekkadampu, Muvattupuzha
Ernakulam",Ernakulam,8281705336,priyamolg9@gmail.com,Nil,One,One,One,General,Panchayat licence
Madhava Pharmaceutical Laboratories,OP Treatment Centre / Wellness Centre,"MADHAVA pharmaceutical laboratories,madhava pharmacy junction,banerji road,ernakulam",Ernakulam,9847333977,dr.greeshmapradeep@gmail.com,Op only,1,1,1,"Kayachikitsa, Salakya Chikitsa, Shalya Chikitsa, Prasoothi Thanthra",ISO
Dr. Vrinda's Ayurveda and Panchakarma,OP Treatment Centre / Wellness Centre,"Dr Vrinda's Ayurveda clinic and Panchakarma centre, Kadathy, Muvattupuzha",Ernakulam,"9447780281, 8129401246",dr.vrindagnair@gmail.com,Nil,2,1,1,"Kayachikitsa, Koumarabrithya",Nil
IHM(Marygiri)AYURVEDA,OP Treatment Centre / Wellness Centre,"Bharananganam p. O, pala, KOTTAYAM",Kottayam,8281340144,drmariathomas86@gmail.com,Nill,1,Nill,1,"Kayachikitsa, Koumarabrithya, Prasoothi Thanthra",Panchayath licence
Nerium Ayurveda and Wellness,OP Treatment Centre / Wellness Centre,"Ground Floor, SR Arcade, Onam Park Zone, Mavelipuram, Kakkanad 682030",Ernakulam,9983618885,neriumayurveda@gmail.com,Nil,1,1,2,Nil,Nil
Safe Ayurvedic Health Care Center,OP Treatment Centre / Wellness Centre,"Manigramam Center, Iringapuram P.O., Guruvayur, Pin: 680103",Thrissur,9447466838,drksgopinath@gmail.com,Nil,2,2,2,Kayachikitsa,Certified by municipal council
Parathuvayalil hospital,Hospital,"Keezhillam PO, Perumbavoor, Ernakulam",Ernakulam,9747410270,ninayurveda@gmail.com,40,4,6,6,"Kayachikitsa, Shalya Chikitsa, Prasoothi Thanthra",NABH
Ramanandam Ayurvedic Wellness,OP Treatment Centre / Wellness Centre,Kaniyampuzha Road Eroor po Thripunithura,Ernakulam,9633387360,drparvathysajiv@gmail.com,4,1,1,1,"Kayachikitsa, Prasoothi Thanthra",Nill
Udaya pharmacy,Clinic,"Udaya pharmacy, Temple road, North Paravur",Ernakulam,9847728677,dr.n.leena@gmail.com,Nil,1,Nil,Nil,Visha Chikitsa,Nil
Krishnatreya Ayurveda clinic,OP Treatment Centre / Wellness Centre,"Krishnatreya Ayurveda clinic
Thodaparambu junction
Perumbavoor",Ernakulam,9496296780,rinokakkat@gmail.com,Nil,1,Nil,1,General physician,ISO
Neelamana Ayurveda,OP Treatment Centre / Wellness Centre,Neelamana Ayurveda Kunnam Mavelikara,Alappuzha,9995107727,vani.sivaprasad@gmail.com,No,1,2,2,"Kayachikitsa, Koumarabrithya, Visha Chikitsa, Prasoothi Thanthra",No
Pulse hospital,Wing of allopathic hospital,"Pulse Hospital, , Kattilmarket, Haripad",Alappuzha,9495439353,drdeepthikb21@gmail.com,8,1,1,1,"Kayachikitsa, Koumarabrithya, Salakya Chikitsa, Shalya Chikitsa, Prasoothi Thanthra",Nil
SREEDARSHANA AYURVEDA HOSPITAL,Hospital,"NH 17, Thaikkav stop, Cheranalloor, Ernakulam - 682034",Ernakulam,7012339408,drafzal.sreedarshana@gmail.com,16,3,2,2,"Kayachikitsa, Salakya Chikitsa",Nothing precific
Kachappilly Ayurveda clinic,OP Treatment Centre / Wellness Centre,"Kachappilly Ayurveda clinic 
Ambalanada, Annamanada P O
Pin 680741",Thrissur,"04802771111, 8547384730",joyjoseph007@gmail.com,Nil,One,Nil (on call only),1,Kayachikitsa,Panchayat licence
Ayus Arogya Kendra,OP Clinic,"Ayus Arogya Kendra, Market Jn, AM Road Perumbavoor",Ernakulam,9447575905,drbrajeev@gmail.com,0,2,1,1,"Kayachikitsa, Koumarabrithya, Visha Chikitsa",No
Veda Care Ayurveda,OP Treatment Centre / Wellness Centre,Opp Govt Hospital AM Road Perumbavoor,Ernakulam,9446546431,vedacareayurveda@gmail.com,0,2,1,1,"Kayachikitsa, Shalya Chikitsa, Prasoothi Thanthra",Nill
Aturhitha panchakarma and wellness center,OP Treatment Centre / Wellness Centre,"Ayur Hitha,karthikappally po, alappuzha ,pin 690516",Alappuzha,6235704007,faisalnavas174@gmail.com,0,1,Sunil,praveena,"Kayachikitsa, Shalya Chikitsa",ISO
Kalathil,OP Treatment Centre / Wellness Centre,"Kalathil Ayurveda Hospital
Kottukulangara Kayamkulam 690502",Alappuzha,9447366107,drsainua@gmail.com,1,3,1,1,"Kayachikitsa, Shalya Chikitsa",No
Suryakanthi Ayurveda hospital,Hospital,"Opposite KSRTC, ponkunnam, kottayam",Kottayam,8281169827,suryakanthi.james@gmail.com,2,3,1,1,"Kayachikitsa, Prasoothi Thanthra",Nil
Swasth Ayurvedic centre,Hospital,"Swasth Ayurvedic centre,
Velloorkunnam
Muvattupuzha",Ernakulam,9447771770,dileep.anand@gmail.com,15,2,3,2,Kayachikitsa,Municipality registration
Aayursparsh Ayurveda Nursing Home,OP Treatment Centre / Wellness Centre,"Aanavathi Junction,Palace Road ,Mattancherry, kochi-682002",Ernakulam,"9633035009, 
9061026009",drgehanyazer@gmail.com,No,2,2,2,"Panchakarma marma chikitsa, Cosmetology Centre,",ISO
Kanchanangi Ayurveda Vaidyasala,Clinic,"Kanchanangi Ayurveda Vaidyasala, pariyanickal building, Near Taluk Hospital, kuravilangad, kottayam",Kottayam,8281728994,trsreevidya6@gmail.com,Nil,One,Nil,Nil,Salakya Chikitsa,Nil
Ennakkathara ayurveda hospital,Hospital,MLA ROAD poothotta,Ernakulam,8943547223,ambuchithira@yahoo.com,15,2,3,3,"Kayachikitsa, Shalya Chikitsa, Marmq","ISO, Village"
AMOGHA The Ayur Hub,OP Treatment Centre / Wellness Centre,"AMOGHA The Ayur Hub
ARRA 152,Ground floor ,Span Heighte, Appollo Road, Thammanam 682032",Ernakulam,7034177099,dr.varshasarath@gmail.com,0,3,1,1,"Kayachikitsa, Prasoothi Thanthra",Nil
NIRAMAYA Ayurveda clinic,OP Treatment Centre / Wellness Centre,Chalakudy,Thrissur,9447500251,dr.demily@gmail.com,2,2,1,1,Kayachikitsa,Municipality license
Dr.RIYASALIS ORTHOCARE AYUVEDIC AND SPORTS INJURY SPECIALITY CLINIC,OP Treatment Centre / Wellness Centre,"MLA ROAD, VENNIYUR",Malappuram,9447716672,riyasali.unniyakkal@gmail.com,0,1,1,1,Shalya Chikitsa,NA
Ayurvalley hospital,Hospital,"Ayurvalley hospital, Kappamkolly, meppadi (po), wayanad, Kerala 673577",Wayanad,7025444222,rohith@ayurvalley.com,20,3,1,3,"Kayachikitsa, Marmachikitsa",Registered under private hospital
MANGALATH AYURVEDA CENTER,OP Treatment Centre / Wellness Centre,"NOORANAD SANATORIUM PO, KP ROAD, PARAYAMKULAM, CHARUMMOOD, ALAPPUZHA",Alappuzha,9400715240,mangalathayur@gmail.com,0,2,1,1,"Kayachikitsa, Koumarabrithya, Salakya Chikitsa, Shalya Chikitsa, Visha Chikitsa, Prasoothi Thanthra, MARMA, CHIROPRACTIC THERAPY",AMAI
Ayush ayurveda clinic,OP Treatment Centre / Wellness Centre,"Jawahar nagar,sub jail road,Aluva,pin 683101",Ernakulam,8848784616,aathiracarjun@gmail.com,0,1,0,0,No speciality,NABH
Anzi’s Ayurveda Health Care Centre,Hospital,"Edakombum Road, Pachilakkad, Kaniyambetta.P.O",Wayanad,9526597447,info@anzisayurveda.com,10,3,4,3,"Kayachikitsa, Koumarabrithya, Salakya Chikitsa, Shalya Chikitsa, Prasoothi Thanthra",NABH
AVP AYUSH,Hospital,"AVP AYUSH,KULAMANGALAM,VALANCHERI",Malappuram,+91 90488 51000,drarunp8@gmail.com,10,2,2,2,"Kayachikitsa, Prasoothi Thanthra",N
ARIPPATTU VAIDYASALA,OP Treatment Centre / Wellness Centre,"ARIPPATTU VAIDYASALA, ERATHUVADAKKU, PATTAZHY 691522,",Kollam,9400038690,drvenugopalp@gmail.com,No beds,2,Nil,Nil,"Kayachikitsa, Koumarabrithya, Visha Chikitsa, Prasoothi Thanthra",Nil
Pulickal Ayurveda Hospital,Hospital,Peruva PO,Kottayam,4829252838,pulickalayurveda@gmail.com,15,5,4,4,Kayachikitsa,No
Tulsi Ayurved Medical Centre,Hospital,"Tulsi Ayurved Medical Centre, Maruthamonpally, Pooyappally P.O, Kollam 691537",Kollam,9495045555,shanukbabu@gmail.com,7,3,2,2,"Kayachikitsa, Shalya Chikitsa, Prasoothi Thanthra",Nil
Ayushprana Ayurveda Hospital for Multiple Sclerosis,Hospital,"Illithode, Malayattoor PO Ernakulam",Ernakulam,8589909090,drprasanth@hotmail.com,35,7,4,9,Multiple sclerosis,NABH
